Date,Open,High,Low,Close,Adj Close,Volume
2019-05-17,5.230000,5.330000,5.185000,5.230000,4.993764,12495631
2019-05-20,5.320000,5.365000,5.250000,5.350000,5.108343,15340536
2019-05-21,5.310000,5.400000,5.300000,5.320000,5.079699,9362788
2019-05-22,5.350000,5.465000,5.340000,5.440000,5.194278,6960066
2019-05-23,5.430000,5.480000,5.395000,5.460000,5.213375,4249839
2019-05-24,5.490000,5.520000,5.455000,5.510000,5.261117,5942933
2019-05-27,5.510000,5.530000,5.400000,5.410000,5.165633,3983078
2019-05-28,5.430000,5.520000,5.420000,5.500000,5.251568,5191267
2019-05-29,5.420000,5.520000,5.420000,5.510000,5.261117,3473468
2019-05-30,5.450000,5.500000,5.425000,5.490000,5.242020,5343652
2019-05-31,5.530000,5.575000,5.520000,5.550000,5.299310,6648809
2019-06-03,5.470000,5.520000,5.385000,5.390000,5.146536,6970645
2019-06-04,5.350000,5.440000,5.340000,5.390000,5.146536,5375325
2019-06-05,5.470000,5.470000,5.410000,5.430000,5.184730,3454736
2019-06-06,5.410000,5.520000,5.410000,5.500000,5.251568,8413790
2019-06-07,5.460000,5.560000,5.390000,5.530000,5.280213,7016269
2019-06-11,5.560000,5.720000,5.550000,5.680000,5.423437,8872517
2019-06-12,5.700000,5.750000,5.685000,5.690000,5.432986,6944829
2019-06-13,5.710000,5.715000,5.620000,5.620000,5.366148,4395144
2019-06-14,5.620000,5.690000,5.600000,5.600000,5.347051,5544354
2019-06-17,5.580000,5.590000,5.530000,5.540000,5.289761,4244214
2019-06-18,5.540000,5.545000,5.440000,5.470000,5.222923,7312984
2019-06-19,5.540000,5.590000,5.470000,5.520000,5.270665,5547703
2019-06-20,5.450000,5.480000,5.330000,5.430000,5.184730,21347536
2019-06-21,5.420000,5.470000,5.370000,5.410000,5.165633,12533782
2019-06-24,5.380000,5.410000,5.320000,5.350000,5.108343,3818782
2019-06-25,5.330000,5.350000,5.280000,5.300000,5.060602,5361156
2019-06-26,5.290000,5.370000,5.270000,5.360000,5.117892,6229038
2019-06-27,5.350000,5.430000,5.320000,5.410000,5.165633,3195729
2019-06-28,5.420000,5.430000,5.360000,5.400000,5.156085,5463155
2019-07-01,5.410000,5.430000,5.390000,5.400000,5.156085,2573526
2019-07-02,5.420000,5.470000,5.410000,5.430000,5.184730,3127848
2019-07-03,5.410000,5.490000,5.410000,5.470000,5.222923,5296943
2019-07-04,5.520000,5.630000,5.500000,5.620000,5.366148,6288658
2019-07-05,5.600000,5.750000,5.580000,5.720000,5.461630,5089814
2019-07-08,5.740000,5.760000,5.660000,5.670000,5.413889,3851252
2019-07-09,5.690000,5.740000,5.640000,5.670000,5.413889,3465484
2019-07-10,5.710000,5.840000,5.690000,5.830000,5.566662,5980316
2019-07-11,5.770000,5.815000,5.710000,5.710000,5.452082,4735610
2019-07-12,5.700000,5.790000,5.700000,5.720000,5.461630,3220041
2019-07-15,5.690000,5.730000,5.660000,5.670000,5.413889,2202272
2019-07-16,5.640000,5.665000,5.600000,5.620000,5.366148,3205635
2019-07-17,5.600000,5.720000,5.600000,5.710000,5.452082,3349298
2019-07-18,5.690000,5.710000,5.630000,5.630000,5.375696,2532193
2019-07-19,5.600000,5.680000,5.600000,5.640000,5.385244,3401670
2019-07-22,5.640000,5.645000,5.560000,5.590000,5.337503,4666282
2019-07-23,5.630000,5.705000,5.615000,5.650000,5.394793,5019297
2019-07-24,5.720000,5.790000,5.700000,5.790000,5.528469,4438126
2019-07-25,5.810000,5.830000,5.750000,5.820000,5.557114,3491068
2019-07-26,5.780000,5.800000,5.740000,5.750000,5.490276,3542937
